Name;Issuing date;Tranche;Size [mUSD];Peril;Attachment Probability;Expected Loss;Premium;Risk Multiple
IBRD CAR Mexico 2024 (Pacific);2024;A;175;Storm;6.26;4.09;12;2.93398533
IBRD CAR Jamaica 2024;2024;A;150;Storm;2.34;1.5;7;4.666666667
IBRD CAR Mexico 2024;2024;A;225;Earthquake;1.17;0.9;4;4.444444444
IBRD CAR Mexico 2024;2024;B;70;Earthquake;8.3;5.84;11;1.883561644
IBRD CAR Mexico 2024;2024;C;125;Storm;7.96;5.69;13.5;2.37258348
IBRD – Chile 2023;2023;A;350;Earthquake;1.48;1;4.75;4.75
IBRD CAR 130 - Jamaica;2021;A;185;Storm;;1.52;4.4;2.894736842
IBRD / FONDEN 2020 - Mexico;2020;A;175;Earthquake;;0.9;3.5;3.888888889
IBRD / FONDEN 2020 - Mexico;2020;B;60;Earthquake;;5.78;9;1.557093426
IBRD / FONDEN 2020 - Mexico;2020;C;125;Storm;;5.61;10;1.782531194
IBRD / FONDEN 2020 - Mexico;2020;D;100;Storm;;4.06;6.5;1.600985222
IBRD CAR 123 - Philippine;2019;A;75;Earthquake;5.3;3;5.5;1.833333333
IBRD CAR 124 - Philippine;2019;B;150;Storm;5.3;3;5.65;1.883333333
IBRD CAR 120 - Peru;2018;A;200;Earthquake;7.14;5;6;1.2
IBRD CAR 118 - Mexico;2018;A;160;Earthquake;1.09;0.79;2.5;3.164556962
IBRD CAR 119 - Mexico;2018;B;100;Earthquake;8.25;6.54;8.25;1.26146789
IBRD CAR 117 - Colombia;2018;A;400;Earthquake;2.78;1.56;3;1.923076923
IBRD CAR 116 - Chile;2018;A;500;Earthquake;1.35;0.86;2.5;2.906976744
IBRD / FONDEN 2017 - Mexico;2017;A;150;Earthquake;5.73;3.43;4.5;1.311953353
IBRD / FONDEN 2017 - Mexico;2017;B;100;Storm;7.97;5.56;9.3;1.672661871
IBRD / FONDEN 2017 - Mexico;2017;C;110;Storm;5.8;3.96;5.9;1.48989899
IBRD CAR 111 - Pandemic;2017;A;225;Pandemic;4.92;3.57;6.9;1.932773109
IBRD CAR 112 - Pandemic;2017;B;95;Pandemic;9.44;7.74;11.5;1.485788114
